concept_id,determinism_class,route,input_block_required_for_non_refusal,required_fixture_fields,optional_fixture_fields,missing_input_behavior,notes
ch02_structural_reference_levels,COMPUTABLE,computable,shared structural blocks,session_clock|current_session_bars,prior_session_bars,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch03_initial_balance,COMPUTABLE,computable,shared structural blocks,session_clock|rth_session_bars,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch03_single_prints,COMPUTABLE,computable,shared structural blocks,tpo_profile|tpo_period_definition|session_clock,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch03_value_area_vah_val_poc,COMPUTABLE,computable,shared structural blocks,session_clock|profile_distribution,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch03_value_migration_and_overlap,COMPUTABLE,computable,shared structural blocks,current_value_area|prior_value_area|session_clock,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch03_vwap_relationship,COMPUTABLE,computable,shared structural blocks,session_clock|intraday_trade_price|intraday_traded_volume,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch05_one_timeframing,COMPUTABLE,computable,shared structural blocks,period_bars|period_definition|session_clock,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch07_rth_open_location,COMPUTABLE,computable,shared structural blocks,session_clock|rth_open_price|overnight_high_low|prior_rth_high_low,prior_value_references,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch08_inside_outside_and_narrow_wide_range_days,COMPUTABLE,computable,shared structural blocks,session_clock|current_session_high_low|prior_session_high_low,,computable_refusal,Fields are current runtime fixture keys consumed by the computable detector.
ch02_acceptance_vs_rejection,CALIBRATED,calibrated,ch02_acceptance_vs_rejection,structural_level|trade_price_sequence|session_clock,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_break_quality,CALIBRATED,calibrated,ch02_break_quality,price_sequence|structural_reference,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_breakout_continuation_vs_breakout_failure,CALIBRATED,calibrated,ch02_breakout_continuation_vs_breakout_failure,structural_level|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_level_magnetism_and_decay,CALIBRATED,calibrated,ch02_level_magnetism_and_decay,structural_level|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_level_test_sequence,CALIBRATED,calibrated,ch02_level_test_sequence,structural_level|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_liquidity_sweep_vs_real_break,CALIBRATED,calibrated,ch02_liquidity_sweep_vs_real_break,structural_level|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch02_polarity_flip,CALIBRATED,calibrated,ch02_polarity_flip,broken_structural_level|post_break_price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_auction_acceptance_vs_rejection,CALIBRATED,calibrated,ch03_auction_acceptance_vs_rejection,price_sequence|profile_distribution|auction_reference_area,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_completed_failed_and_unfinished_auctions,CALIBRATED,calibrated,ch03_completed_failed_and_unfinished_auctions,market_profile_or_tpo|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_excess_vs_poor_highs_lows,CALIBRATED,calibrated,ch03_excess_vs_poor_highs_lows,tpo_or_market_profile|price_sequence,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_price_outside_value_acceptance_test,CALIBRATED,calibrated,ch03_price_outside_value_acceptance_test,value_area_references|price_sequence|volume_at_price_or_tpo,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_the_auction_framework,CALIBRATED,calibrated,ch03_the_auction_framework,price_bar_structure,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch03_volume_nodes_and_air_pockets,CALIBRATED,calibrated,ch03_volume_nodes_and_air_pockets,volume_at_price_distribution|price_path,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch04_spread_behavior,CALIBRATED,calibrated,ch04_spread_behavior,bid_ask_quotes,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch04_stall_and_snap_back,CALIBRATED,calibrated,ch04_stall_and_snap_back,price_sequence|structural_reference,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch04_sweeps_through_liquidity,CALIBRATED,calibrated,ch04_sweeps_through_liquidity,price_sequence|structural_levels,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch04_tape_quality_spectrum,CALIBRATED,calibrated,ch04_tape_quality_spectrum,tick_or_bar_sequence|spread_history,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch05_follow_through_and_failure,CALIBRATED,calibrated,ch05_follow_through_and_failure,price_bars|structural_reference,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
ch05_impulse_vs_grind,CALIBRATED,calibrated,ch05_impulse_vs_grind,price_bars,,calibrated_refusal,Requires a concept-id detector input block plus a supplied calibration profile.
