period,session,open,high,low,close,volume
P1,current,5000,5006,4999,5004,1200
P2,current,5004,5011,5002,5008,1500
P3,current,5008,5016,5007,5013,1800
P4,current,5013,5018,5010,5015,1600
P5,current,5015,5017,5011,5014,1300
PR1,prior,4990,5005,4985,5000,1100
PR2,prior,5000,5020,4995,5012,1700
PR3,prior,5012,5018,4980,4990,1900
IB1,rth,5000,5006,4998,5004,1000
IB2,rth,5004,5012,5002,5011,1300
OTF1,period,4999,5006,4999,5004,900
OTF2,period,5004,5011,5002,5008,1000
OTF3,period,5008,5016,5007,5013,1200
AS1,asia,5000,5005,4998,5003,200
AS2,asia,5003,5008,5001,5006,250
AS3,asia,5006,5010,5004,5009,300
AS4,asia,5009,5009,5003,5007,180
