chapter,concept_id,display_name,determinism_class,spec_file,parameter_name,parameter_description,parameter_type_if_available,calibration_scope,required_for_detection,missing_feed_behavior,notes
1: Read Discipline & Interpretation Method,ch01_confirmation_and_invalidation_discipline,Confirmation & Invalidation Discipline,JUDGMENT_ASSISTED,spec/detection_specs/ch01_confirmation_and_invalidation_discipline.yaml,confirmation_and_invalidation_discipline_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_confirmation_and_invalidation_discipline,Confirmation & Invalidation Discipline,JUDGMENT_ASSISTED,spec/detection_specs/ch01_confirmation_and_invalidation_discipline.yaml,confirmation_and_invalidation_discipline_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
1: Read Discipline & Interpretation Method,ch01_false_precision_and_observation_tracking,False Precision & Observation Tracking,JUDGMENT_ASSISTED,spec/detection_specs/ch01_false_precision_and_observation_tracking.yaml,false_precision_and_observation_tracking_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_false_precision_and_observation_tracking,False Precision & Observation Tracking,JUDGMENT_ASSISTED,spec/detection_specs/ch01_false_precision_and_observation_tracking.yaml,false_precision_and_observation_tracking_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
1: Read Discipline & Interpretation Method,ch01_leading_vs_coincident_signals,Leading vs. Coincident Signals,JUDGMENT_ASSISTED,spec/detection_specs/ch01_leading_vs_coincident_signals.yaml,leading_vs_coincident_signals_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_leading_vs_coincident_signals,Leading vs. Coincident Signals,JUDGMENT_ASSISTED,spec/detection_specs/ch01_leading_vs_coincident_signals.yaml,leading_vs_coincident_signals_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
1: Read Discipline & Interpretation Method,ch01_signal_conflict_taxonomy,Signal Conflict Taxonomy,JUDGMENT_ASSISTED,spec/detection_specs/ch01_signal_conflict_taxonomy.yaml,signal_conflict_taxonomy_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_signal_conflict_taxonomy,Signal Conflict Taxonomy,JUDGMENT_ASSISTED,spec/detection_specs/ch01_signal_conflict_taxonomy.yaml,signal_conflict_taxonomy_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
1: Read Discipline & Interpretation Method,ch01_tape_confirms_narrative_rule,Tape-Confirms-Narrative Rule,JUDGMENT_ASSISTED,spec/detection_specs/ch01_tape_confirms_narrative_rule.yaml,tape_confirms_narrative_rule_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_tape_confirms_narrative_rule,Tape-Confirms-Narrative Rule,JUDGMENT_ASSISTED,spec/detection_specs/ch01_tape_confirms_narrative_rule.yaml,tape_confirms_narrative_rule_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
