chapter,concept_id,display_name,determinism_class,glossary_ref,spec_file,review_status,required_inputs_count,optional_inputs_count,states_emitted_count,forbidden_outputs_count
1: Read Discipline & Interpretation Method,ch01_confirmation_and_invalidation_discipline,Confirmation & Invalidation Discipline,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#confirmation-invalidation-discipline,spec/detection_specs/ch01_confirmation_and_invalidation_discipline.yaml,DRAFT,3,3,8,12
1: Read Discipline & Interpretation Method,ch01_context_vs_execution_permission,Context vs. Execution Permission,CONTEXT_ONLY,glossary/chapter_01_read_discipline_interpretation_method.md#context-vs-execution-permission,spec/detection_specs/ch01_context_vs_execution_permission.yaml,DRAFT,3,1,7,12
1: Read Discipline & Interpretation Method,ch01_false_precision_and_observation_tracking,False Precision & Observation Tracking,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#false-precision-observation-tracking,spec/detection_specs/ch01_false_precision_and_observation_tracking.yaml,DRAFT,4,1,8,12
1: Read Discipline & Interpretation Method,ch01_leading_vs_coincident_signals,Leading vs. Coincident Signals,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#leading-vs-coincident-signals,spec/detection_specs/ch01_leading_vs_coincident_signals.yaml,DRAFT,3,3,8,12
1: Read Discipline & Interpretation Method,ch01_product_specific_behavior,Product-Specific Behavior,CONTEXT_ONLY,glossary/chapter_01_read_discipline_interpretation_method.md#product-specific-behavior,spec/detection_specs/ch01_product_specific_behavior.yaml,DRAFT,2,1,6,12
1: Read Discipline & Interpretation Method,ch01_signal_conflict_taxonomy,Signal Conflict Taxonomy,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#signal-conflict-taxonomy,spec/detection_specs/ch01_signal_conflict_taxonomy.yaml,DRAFT,6,1,8,12
1: Read Discipline & Interpretation Method,ch01_tape_confirms_narrative_rule,Tape-Confirms-Narrative Rule,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#tape-confirms-narrative-rule,spec/detection_specs/ch01_tape_confirms_narrative_rule.yaml,DRAFT,4,2,8,12
1: Read Discipline & Interpretation Method,ch01_the_read_vs_the_touch,The Read vs. The Touch,JUDGMENT_ASSISTED,glossary/chapter_01_read_discipline_interpretation_method.md#the-read-vs-the-touch,spec/detection_specs/ch01_the_read_vs_the_touch.yaml,DRAFT,4,3,8,12
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,DRAFT,3,2,0,12
2: Level Interaction & Acceptance,ch02_break_quality,Break Quality,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#break-quality,spec/detection_specs/ch02_break_quality.yaml,DRAFT,3,2,8,12
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#breakout-continuation-vs-breakout-failure,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,DRAFT,3,2,11,12
2: Level Interaction & Acceptance,ch02_level_magnetism_and_decay,Level Magnetism & Decay,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#level-magnetism-decay,spec/detection_specs/ch02_level_magnetism_and_decay.yaml,DRAFT,3,2,8,12
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#level-test-sequence,spec/detection_specs/ch02_level_test_sequence.yaml,DRAFT,3,2,12,12
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#liquidity-sweep-vs-real-break,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,DRAFT,3,3,11,12
2: Level Interaction & Acceptance,ch02_mechanical_levels_and_obvious_traps,Mechanical Levels & Obvious Traps,JUDGMENT_ASSISTED,glossary/chapter_02_level_interaction_acceptance.md#mechanical-levels-obvious-traps,spec/detection_specs/ch02_mechanical_levels_and_obvious_traps.yaml,DRAFT,3,3,8,12
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,glossary/chapter_02_level_interaction_acceptance.md#polarity-flip,spec/detection_specs/ch02_polarity_flip.yaml,DRAFT,3,2,12,12
2: Level Interaction & Acceptance,ch02_structural_reference_levels,Structural Reference Levels,COMPUTABLE,glossary/chapter_02_level_interaction_acceptance.md,spec/detection_specs/ch02_structural_reference_levels.yaml,DRAFT,3,2,0,12
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,glossary/chapter_03_auction_market_profile.md#auction-acceptance-vs-rejection,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,DRAFT,4,3,8,12
3: Auction & Market Profile,ch03_completed_failed_and_unfinished_auctions,"Completed, Failed & Unfinished Auctions",CALIBRATED,glossary/chapter_03_auction_market_profile.md#completed-failed-unfinished-auctions,spec/detection_specs/ch03_completed_failed_and_unfinished_auctions.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_excess_vs_poor_highs_lows,Excess vs. Poor Highs/Lows,CALIBRATED,glossary/chapter_03_auction_market_profile.md#excess-vs-poor-highs-lows,spec/detection_specs/ch03_excess_vs_poor_highs_lows.yaml,DRAFT,3,2,12,12
3: Auction & Market Profile,ch03_fresh_flow_vs_weak_strong_hands,Fresh Flow vs. Weak/Strong Hands,JUDGMENT_ASSISTED,glossary/chapter_03_auction_market_profile.md#fresh-flow-vs-weakstrong-hands,spec/detection_specs/ch03_fresh_flow_vs_weak_strong_hands.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_initial_balance,Initial Balance,COMPUTABLE,glossary/chapter_03_auction_market_profile.md,spec/detection_specs/ch03_initial_balance.yaml,DRAFT,2,2,0,12
3: Auction & Market Profile,ch03_initiative_vs_responsive_activity,Initiative vs. Responsive Activity,JUDGMENT_ASSISTED,glossary/chapter_03_auction_market_profile.md#initiative-vs-responsive-activity,spec/detection_specs/ch03_initiative_vs_responsive_activity.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_overnight_inventory_and_inventory_correction,Overnight Inventory & Inventory Correction,JUDGMENT_ASSISTED,glossary/chapter_03_auction_market_profile.md#overnight-inventory-inventory-correction,spec/detection_specs/ch03_overnight_inventory_and_inventory_correction.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_price_outside_value_acceptance_test,Price Outside Value / Acceptance Test,CALIBRATED,glossary/chapter_03_auction_market_profile.md#price-outside-value-acceptance-test,spec/detection_specs/ch03_price_outside_value_acceptance_test.yaml,DRAFT,4,2,11,12
3: Auction & Market Profile,ch03_short_covering_vs_long_liquidation_auctions,Short-Covering vs. Long-Liquidation Auctions,JUDGMENT_ASSISTED,glossary/chapter_03_auction_market_profile.md#short-covering-vs-long-liquidation-auctions,spec/detection_specs/ch03_short_covering_vs_long_liquidation_auctions.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_single_prints,Single Prints,COMPUTABLE,glossary/chapter_03_auction_market_profile.md#single-prints,spec/detection_specs/ch03_single_prints.yaml,DRAFT,3,2,12,12
3: Auction & Market Profile,ch03_the_auction_framework,The Auction Framework,CALIBRATED,glossary/chapter_03_auction_market_profile.md#the-auction-framework,spec/detection_specs/ch03_the_auction_framework.yaml,DRAFT,2,1,8,12
3: Auction & Market Profile,ch03_value_area_vah_val_poc,Value Area: VAH / VAL / POC,COMPUTABLE,glossary/chapter_03_auction_market_profile.md,spec/detection_specs/ch03_value_area_vah_val_poc.yaml,DRAFT,2,2,0,12
3: Auction & Market Profile,ch03_value_migration_and_overlap,Value Migration & Overlap,COMPUTABLE,glossary/chapter_03_auction_market_profile.md#value-migration-and-overlap,spec/detection_specs/ch03_value_migration_and_overlap.yaml,DRAFT,3,2,11,12
3: Auction & Market Profile,ch03_volume_nodes_and_air_pockets,Volume Nodes & Air Pockets,CALIBRATED,glossary/chapter_03_auction_market_profile.md#volume-nodes-air-pockets,spec/detection_specs/ch03_volume_nodes_and_air_pockets.yaml,DRAFT,3,3,6,12
3: Auction & Market Profile,ch03_vwap_relationship,VWAP Relationship,COMPUTABLE,glossary/chapter_03_auction_market_profile.md,spec/detection_specs/ch03_vwap_relationship.yaml,DRAFT,3,2,0,12
4: Tape Reading & Microstructure,ch04_absorption,Absorption,JUDGMENT_ASSISTED,glossary/chapter_04_tape_reading_microstructure.md#absorption,spec/detection_specs/ch04_absorption.yaml,DRAFT,3,2,11,12
4: Tape Reading & Microstructure,ch04_chasing_vs_pressing,Chasing vs. Pressing,JUDGMENT_ASSISTED,glossary/chapter_04_tape_reading_microstructure.md#chasing-vs-pressing,spec/detection_specs/ch04_chasing_vs_pressing.yaml,DRAFT,2,3,11,12
4: Tape Reading & Microstructure,ch04_cumulative_delta_and_delta_divergence,Cumulative Delta & Delta Divergence,JUDGMENT_ASSISTED,glossary/chapter_04_tape_reading_microstructure.md#cumulative-delta-and-delta-divergence,spec/detection_specs/ch04_cumulative_delta_and_delta_divergence.yaml,DRAFT,3,3,12,12
4: Tape Reading & Microstructure,ch04_liquidity_pulls_and_replenishment,Liquidity Pulls & Replenishment,NOT_DETECTABLE_WITH_CURRENT_FEEDS,glossary/chapter_04_tape_reading_microstructure.md#liquidity-pulls-and-replenishment,spec/detection_specs/ch04_liquidity_pulls_and_replenishment.yaml,BLOCKED_BY_FEEDS,2,2,10,12
4: Tape Reading & Microstructure,ch04_refreshing_liquidity,Refreshing Liquidity,NOT_DETECTABLE_WITH_CURRENT_FEEDS,glossary/chapter_04_tape_reading_microstructure.md#refreshing-liquidity,spec/detection_specs/ch04_refreshing_liquidity.yaml,BLOCKED_BY_FEEDS,2,2,9,12
4: Tape Reading & Microstructure,ch04_spread_behavior,Spread Behavior,CALIBRATED,glossary/chapter_04_tape_reading_microstructure.md#spread-behavior,spec/detection_specs/ch04_spread_behavior.yaml,DRAFT,2,3,12,12
4: Tape Reading & Microstructure,ch04_stall_and_snap_back,Stall & Snap-Back,CALIBRATED,glossary/chapter_04_tape_reading_microstructure.md#stall-and-snap-back,spec/detection_specs/ch04_stall_and_snap_back.yaml,DRAFT,3,3,11,12
4: Tape Reading & Microstructure,ch04_sweeps_through_liquidity,Sweeps Through Liquidity,CALIBRATED,glossary/chapter_04_tape_reading_microstructure.md#sweeps-through-liquidity,spec/detection_specs/ch04_sweeps_through_liquidity.yaml,DRAFT,3,3,11,12
4: Tape Reading & Microstructure,ch04_tape_quality_spectrum,Tape Quality Spectrum,CALIBRATED,glossary/chapter_04_tape_reading_microstructure.md#tape-quality-spectrum,spec/detection_specs/ch04_tape_quality_spectrum.yaml,DRAFT,3,2,15,12
4: Tape Reading & Microstructure,ch04_tape_vs_narrative,Tape vs. Narrative,JUDGMENT_ASSISTED,glossary/chapter_04_tape_reading_microstructure.md#tape-vs-narrative,spec/detection_specs/ch04_tape_vs_narrative.yaml,DRAFT,5,1,8,12
"5: Momentum, Follow-Through & Day Types",ch05_close_quality,Close Quality,JUDGMENT_ASSISTED,glossary/chapter_05_momentum_follow_through_day_types.md#close-quality,spec/detection_specs/ch05_close_quality.yaml,DRAFT,3,3,12,12
"5: Momentum, Follow-Through & Day Types",ch05_day_type_taxonomy,Day-Type Taxonomy,JUDGMENT_ASSISTED,glossary/chapter_05_momentum_follow_through_day_types.md#day-type-taxonomy,spec/detection_specs/ch05_day_type_taxonomy.yaml,DRAFT,3,3,12,12
"5: Momentum, Follow-Through & Day Types",ch05_exhaustion,Exhaustion,JUDGMENT_ASSISTED,glossary/chapter_05_momentum_follow_through_day_types.md#exhaustion,spec/detection_specs/ch05_exhaustion.yaml,DRAFT,5,2,8,12
"5: Momentum, Follow-Through & Day Types",ch05_follow_through_and_failure,Follow-Through and Failure,CALIBRATED,glossary/chapter_05_momentum_follow_through_day_types.md#follow-through-and-failure,spec/detection_specs/ch05_follow_through_and_failure.yaml,DRAFT,3,3,6,12
"5: Momentum, Follow-Through & Day Types",ch05_impulse_vs_grind,Impulse vs. Grind,CALIBRATED,glossary/chapter_05_momentum_follow_through_day_types.md#impulse-vs-grind,spec/detection_specs/ch05_impulse_vs_grind.yaml,DRAFT,3,3,12,12
"5: Momentum, Follow-Through & Day Types",ch05_momentum_ignition_stall_and_exhaustion,"Momentum Ignition, Stall & Exhaustion",JUDGMENT_ASSISTED,glossary/chapter_05_momentum_follow_through_day_types.md#momentum-ignition-stall-exhaustion,spec/detection_specs/ch05_momentum_ignition_stall_and_exhaustion.yaml,DRAFT,4,3,6,12
"5: Momentum, Follow-Through & Day Types",ch05_one_timeframing,One-Timeframing,COMPUTABLE,glossary/chapter_05_momentum_follow_through_day_types.md#one-timeframing,spec/detection_specs/ch05_one_timeframing.yaml,DRAFT,3,4,10,12
6: Traps & Positioning,ch06_crowded_trades_and_pain_trades,Crowded Trades & Pain Trades,CONTEXT_ONLY,glossary/chapter_06_traps_positioning.md#crowded-trades-pain-trades,spec/detection_specs/ch06_crowded_trades_and_pain_trades.yaml,DRAFT,3,3,6,12
6: Traps & Positioning,ch06_dealer_gamma_dynamics,Dealer Gamma Dynamics,NOT_DETECTABLE_WITH_CURRENT_FEEDS,glossary/chapter_06_traps_positioning.md#dealer-gamma-dynamics,spec/detection_specs/ch06_dealer_gamma_dynamics.yaml,DRAFT,6,1,8,12
6: Traps & Positioning,ch06_mechanical_flows_rebalance_month_end_roll,Mechanical Flows (Rebalance / Month-End / Roll),CONTEXT_ONLY,glossary/chapter_06_traps_positioning.md#mechanical-flows-rebalance-month-end-roll,spec/detection_specs/ch06_mechanical_flows_rebalance_month_end_roll.yaml,DRAFT,5,1,7,12
6: Traps & Positioning,ch06_short_covering_rally,Short-Covering Rally,JUDGMENT_ASSISTED,glossary/chapter_06_traps_positioning.md#short-covering-rally,spec/detection_specs/ch06_short_covering_rally.yaml,DRAFT,3,3,6,12
6: Traps & Positioning,ch06_stop_out_cascades_and_liquidation,Stop-Out Cascades & Liquidation,CALIBRATED,glossary/chapter_06_traps_positioning.md#stop-out-cascades-liquidation,spec/detection_specs/ch06_stop_out_cascades_and_liquidation.yaml,DRAFT,4,3,6,12
6: Traps & Positioning,ch06_strong_hands_defending,Strong Hands Defending,JUDGMENT_ASSISTED,glossary/chapter_06_traps_positioning.md#strong-hands-defending,spec/detection_specs/ch06_strong_hands_defending.yaml,DRAFT,3,3,6,12
6: Traps & Positioning,ch06_trapped_traders,Trapped Traders,JUDGMENT_ASSISTED,glossary/chapter_06_traps_positioning.md#trapped-traders,spec/detection_specs/ch06_trapped_traders.yaml,DRAFT,3,3,6,12
7: Session Context & Sequencing,ch07_asia_session_character,Asia Session Character,CALIBRATED,glossary/chapter_07_session_context_sequencing.md#asia-session-character,spec/detection_specs/ch07_asia_session_character.yaml,DRAFT,3,3,6,12
7: Session Context & Sequencing,ch07_intraday_time_windows,Intraday Time Windows,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#intraday-time-windows,spec/detection_specs/ch07_intraday_time_windows.yaml,DRAFT,4,3,6,12
7: Session Context & Sequencing,ch07_london_initiative_and_traps,London Initiative & Traps,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#london-initiative-traps,spec/detection_specs/ch07_london_initiative_and_traps.yaml,DRAFT,4,3,6,12
7: Session Context & Sequencing,ch07_ny_inheritance_vs_rejection,NY Inheritance vs. Rejection,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#ny-inheritance-vs-rejection,spec/detection_specs/ch07_ny_inheritance_vs_rejection.yaml,DRAFT,5,5,8,12
7: Session Context & Sequencing,ch07_opening_type_taxonomy,Opening Type Taxonomy,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#opening-type-taxonomy,spec/detection_specs/ch07_opening_type_taxonomy.yaml,DRAFT,5,5,8,12
7: Session Context & Sequencing,ch07_rth_open_location,RTH Open Location,COMPUTABLE,glossary/chapter_07_session_context_sequencing.md#rth-open-location,spec/detection_specs/ch07_rth_open_location.yaml,DRAFT,5,3,15,12
7: Session Context & Sequencing,ch07_session_quality_vs_session_completion,Session Quality vs. Session Completion,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#session-quality-vs-session-completion,spec/detection_specs/ch07_session_quality_vs_session_completion.yaml,DRAFT,6,5,8,12
7: Session Context & Sequencing,ch07_session_sequencing,Session Sequencing,JUDGMENT_ASSISTED,glossary/chapter_07_session_context_sequencing.md#session-sequencing,spec/detection_specs/ch07_session_sequencing.yaml,DRAFT,3,3,6,12
8: Volatility Regime,ch08_compression_breakouts_real_vs_false,Compression Breakouts (Real vs. False),CALIBRATED,glossary/chapter_08_volatility_regime.md#compression-breakouts-real-vs-false,spec/detection_specs/ch08_compression_breakouts_real_vs_false.yaml,DRAFT,4,3,8,12
8: Volatility Regime,ch08_compression_vs_expansion,Compression vs. Expansion,CALIBRATED,glossary/chapter_08_volatility_regime.md#compression-vs-expansion-the-volatility-cycle,spec/detection_specs/ch08_compression_vs_expansion.yaml,DRAFT,4,4,10,12
8: Volatility Regime,ch08_event_volatility_regime,Event Volatility Regime,JUDGMENT_ASSISTED,glossary/chapter_08_volatility_regime.md#event-volatility-regime,spec/detection_specs/ch08_event_volatility_regime.yaml,DRAFT,3,4,8,12
8: Volatility Regime,ch08_expanded_volatility_no_trade_condition,Expanded-Volatility No-Trade Condition,CALIBRATED,glossary/chapter_08_volatility_regime.md#expanded-volatility-no-trade-condition,spec/detection_specs/ch08_expanded_volatility_no_trade_condition.yaml,DRAFT,5,3,6,12
8: Volatility Regime,ch08_expansion_outcomes_trend_chop_exhaustion,Expansion Outcomes (Trend / Chop / Exhaustion),JUDGMENT_ASSISTED,glossary/chapter_08_volatility_regime.md#expansion-outcomes-trend-chop-exhaustion,spec/detection_specs/ch08_expansion_outcomes_trend_chop_exhaustion.yaml,DRAFT,3,3,6,12
8: Volatility Regime,ch08_inside_outside_and_narrow_wide_range_days,Inside/Outside & Narrow/Wide Range Days,COMPUTABLE,glossary/chapter_08_volatility_regime.md#insideoutside--narrowwide-range-days,spec/detection_specs/ch08_inside_outside_and_narrow_wide_range_days.yaml,DRAFT,3,4,15,12
8: Volatility Regime,ch08_liquidity_driven_and_mechanical_volatility,Liquidity-Driven & Mechanical Volatility,JUDGMENT_ASSISTED,glossary/chapter_08_volatility_regime.md#liquidity-driven-mechanical-volatility,spec/detection_specs/ch08_liquidity_driven_and_mechanical_volatility.yaml,DRAFT,5,4,8,12
8: Volatility Regime,ch08_volatility_crush_and_reset,Volatility Crush & Reset,CALIBRATED,glossary/chapter_08_volatility_regime.md#volatility-crush-reset,spec/detection_specs/ch08_volatility_crush_and_reset.yaml,DRAFT,4,3,6,12
9: Intermarket Confirmation,ch09_breadth_confirmation_and_divergence,Breadth Confirmation & Divergence,CALIBRATED,glossary/chapter_09_intermarket_confirmation.md#breadth-confirmation-divergence,spec/detection_specs/ch09_breadth_confirmation_and_divergence.yaml,DRAFT,5,1,8,12
9: Intermarket Confirmation,ch09_crude_fundamentals_inventories_and_cracks,Crude Fundamentals: Inventories & Cracks,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#crude-fundamentals-inventories-cracks,spec/detection_specs/ch09_crude_fundamentals_inventories_and_cracks.yaml,DRAFT,6,3,8,12
9: Intermarket Confirmation,ch09_crude_spreads_and_geopolitical_premium,Crude Spreads & Geopolitical Premium,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#crude-spreads-geopolitical-premium,spec/detection_specs/ch09_crude_spreads_and_geopolitical_premium.yaml,DRAFT,5,3,8,12
9: Intermarket Confirmation,ch09_euro_dollar_drivers,Euro/Dollar Drivers,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#eurodollar-drivers,spec/detection_specs/ch09_euro_dollar_drivers.yaml,DRAFT,5,3,8,12
9: Intermarket Confirmation,ch09_euro_event_windows_and_carry,Euro Event Windows & Carry,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#euro-event-windows-carry,spec/detection_specs/ch09_euro_event_windows_and_carry.yaml,DRAFT,5,3,8,12
9: Intermarket Confirmation,ch09_gold_demand_channels,Gold Demand Channels,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#gold-demand-channels,spec/detection_specs/ch09_gold_demand_channels.yaml,DRAFT,3,2,8,12
