chapter_number,chapter_title,concept_name,determinism_class,required_inputs,optional_inputs,missing_feed_behavior,calibration_needed,human_judgment_needed,spec_candidate,notes
1,"Read Discipline & Interpretation Method","The Read vs. The Touch",JUDGMENT_ASSISTED,"Price/level interaction sequence, structural levels, session state","Volume-at-price, cumulative delta, tape","Downgrade to structural touch read",true,true,true,"Classifies post-touch behavior; Detection Readiness present and valid; left unchanged in P12"
1,"Read Discipline & Interpretation Method","Signal Conflict Taxonomy",JUDGMENT_ASSISTED,"Multi-layer reads (structure, tape, catalyst, intermarket), timeframe context","Feed-quality metadata","Emit review-required label",true,true,true,"Governance/interpretation concept; left unchanged"
1,"Read Discipline & Interpretation Method","Leading vs. Coincident Signals",JUDGMENT_ASSISTED,"Price sequence, signal-timing context","Spread, delta, intermarket","Tag signal timing as uncertain",true,true,true,"Signal-timing classification; left unchanged"
1,"Read Discipline & Interpretation Method","Context vs. Execution Permission",CONTEXT_ONLY,"Observation set, setup-quality context","None","Keep context-only",false,true,false,"Governance boundary; not a detector; left unchanged"
1,"Read Discipline & Interpretation Method","Confirmation & Invalidation Discipline",JUDGMENT_ASSISTED,"Thesis premise, per-layer market behavior","Tape, value, intermarket","Classify observation as context",true,true,true,"Discipline applied per concept; left unchanged"
1,"Read Discipline & Interpretation Method","Tape-Confirms-Narrative Rule",JUDGMENT_ASSISTED,"Catalyst input, live tape, structural context","Cumulative delta, source timestamps","Keep catalyst non-tradable context",true,true,true,"Left unchanged"
1,"Read Discipline & Interpretation Method","Product-Specific Behavior",CONTEXT_ONLY,"Product/session/regime metadata","Calibration profiles","Block cross-product parameter transfer",false,true,false,"Calibration-scoping principle; not a detector; left unchanged"
1,"Read Discipline & Interpretation Method","False Precision & Observation Tracking",JUDGMENT_ASSISTED,"Observation records, outcomes, review windows","Calibration data","Preserve uncertainty; emit refusal/review",true,true,true,"Governance; observation tracking partly computable once records defined; left unchanged"
2,"Level Interaction & Acceptance","Structural Reference Levels",COMPUTABLE,"Session clock, session and prior-session bars","Market Profile / volume-at-price (for value references)","Omit profile-derived references rather than approximate",false,false,true,"Reference lattice computable; significance weighting is a judgment overlay; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Acceptance vs. Rejection",CALIBRATED,"Structural level, trade/price sequence","Volume-at-price, cumulative delta","Lower confidence; refuse if no price sequence or level",true,false,true,"Protocol flagship calibrated concept; strong detection-spec candidate; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Level Test Sequence",CALIBRATED,"Structural level, price sequence, session clock","Volume and aggression per test","Downgrade to bare structural test count",true,false,true,"No universal three-test rule; calibrate test-count window and reaction threshold; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Level Magnetism & Decay",CALIBRATED,"Structural level, price sequence","Volume, prior test history","Reduce confidence rather than assert decay",true,false,true,"Stop-cluster location inferred without order-book data; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Breakout Continuation vs. Breakout Failure",CALIBRATED,"Structural level, price sequence","Volume, value migration, tape","Reduce to structural follow-through only",true,false,true,"Emits continuation/retest/failure state; no trade authorization; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Liquidity Sweep vs. Real Break",CALIBRATED,"Structural level, price sequence","Tick data, cumulative delta, DOM","Keep structural; block intent claims",true,false,true,"Motive not detectable; only reclaim/hold reaction; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Break Quality",CALIBRATED,"Price sequence, structural reference lattice","Volatility baselines, tape","Downgrade to coarse structural texture",true,false,true,"Grade only; execution permission belongs to Chapter 12; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Polarity Flip",CALIBRATED,"Broken level, subsequent price sequence","Volume, tape at retest","Reduce to bare structural retest outcome",true,false,true,"Reclaim of breakdown and loss of breakout are the same mechanism inverted; Detection Readiness added in P12"
2,"Level Interaction & Acceptance","Mechanical Levels & Obvious Traps",JUDGMENT_ASSISTED,"Structural level, price behavior around it","Sentiment, positioning, order-book data","Keep caution overlay, not confirmed condition",true,true,true,"Trap-risk read needs crowding inference; raises confirmation requirement; Detection Readiness added in P12"
3,"Auction & Market Profile","The Auction Framework",CALIBRATED,"Price/bar structure","Market Profile / volume-at-price","Downgrade to bar-structure regime context",true,false,true,"Balance/imbalance/transition state; transitions lower confidence; Detection Readiness added in P12"
3,"Auction & Market Profile","Auction Acceptance vs. Rejection",CALIBRATED,"Price sequence, Market Profile / TPO / volume-at-price","Cumulative delta","Refuse without profile data",true,false,true,"Auction-level acceptance read; Detection Readiness added in P12"
3,"Auction & Market Profile","Initiative vs. Responsive Activity",JUDGMENT_ASSISTED,"Value-area reference, price sequence","Delta, aggression at value edges","Keep context-only",true,true,true,"Location split mechanical, conviction read interpretive; Detection Readiness added in P12"
3,"Auction & Market Profile","Completed, Failed & Unfinished Auctions",CALIBRATED,"Market Profile / TPO data, price sequence","None","Refuse excess/poor without profile; failed auction from bars at low confidence",true,false,true,"Auction-quality context; Detection Readiness added in P12"
